pdb,PBF,PMI1,PMI2,PMI3,NPR1,NPR2,RadiusOfGyration,InertialShapeFactor,Eccentricity,Asphericity,SpherocityIndex
protein,1.0672124896127064,5551.74013430841,13480.719641521071,17449.595369637784,0.318158674554048,0.7725519908030338,5.417224482484137,0.0001391549265839821,0.9480374770050031,0.3308632879945609,0.15373402391691696
protein,0,0,0,0,0,0,0,0,0,0,0
protein,0,0,0,0,0,0,0,0,0,0,0
protein,0.9445144509929747,2424.0365798312514,26956.415163846246,28578.079535253077,0.08482153522041365,0.9432549563239058,6.833580259672714,0.00038912571046661765,0.9963961597491492,0.7671497236976366,0.06709052357719791
protein,0,0,0,0,0,0,0,0,0,0,0
protein,0,0,0,0,0,0,0,0,0,0,0
protein,0,0,0,0,0,0,0,0,0,0,0
protein,0.8773878139648931,2771.031270188629,21529.963298683662,23602.428433167974,0.11740449835638776,0.9121927160862854,6.212592779195204,0.0003291888929222335,0.9930841775829906,0.6886535827783455,0.06786690794845093
protein,0.9292375434339687,5154.302078748799,11745.02424520976,15921.472346674636,0.32373275326043127,0.7376845551386979,5.142380240396801,0.00014312016328654333,0.9461485636338623,0.3282798012645954,0.1181379125250161
protein,1.0812917561708406,3322.932044325485,34404.97165836119,36102.85386385762,0.09204070284460407,0.9529709697770964,7.712732625641741,0.000286786174699079,0.9957552455397217,0.7497730606477132,0.08211836889163993
protein,1.044961204473108,3396.136603684239,20443.729181883755,22598.868164010048,0.15027905729777985,0.9046350920548104,6.116877727780297,0.0002663718211668615,0.9886436187715423,0.6158058801022777,0.09777123218289037
protein,0,0,0,0,0,0,0,0,0,0,0
protein,0.9107794761152294,5686.631966660523,10653.680537130414,15557.030470611886,0.36553453934559643,0.6848145317485764,5.069520316200097,0.00012042533010110273,0.9307977763968942,0.2872682585433826,0.12042206539154683
protein,1.1974325304045765,4596.85152496823,37477.81264928459,39663.12798180527,0.11589735250021004,0.9449031016030013,8.115234336834174,0.00020555440968033698,0.9932611961027381,0.6931758258611905,0.08730024218022021
protein,0,0,0,0,0,0,0,0,0,0,0
protein,1.0351523402406044,4699.699843389674,8016.635726167729,11512.726142894762,0.40821780914941325,0.6963281873177628,4.418327579822145,0.0001481643957107554,0.9128845602228428,0.23726205235664868,0.181289365377674
protein,1.6396020153276618,3951.088212834389,13708.570875536674,14354.035551402336,0.27525974829067373,0.9550325291062414,5.078757922849881,0.0002417137957092409,0.9613698928981264,0.3977969582699381,0.3551957968765186
protein,0.947199950610251,3268.7366716027445,23085.978717331982,25093.728257325525,0.13026110102425748,0.9199899863661181,6.438367086334999,0.00028145123905469683,0.9914797252389723,0.6596927938656407,0.0816643602123622
protein,0.8747164729169906,4893.190584591813,11709.289267230635,15633.341186591288,0.3129971083077686,0.7489946728261575,5.096346897017827,0.000153068771771259,0.9497540787967035,0.34106439645427145,0.10458894002283306
protein,1.3512319633986796,3394.0969057805232,40876.06005513041,41896.3397381885,0.0810117763745076,0.9756475222075759,8.332183613594076,0.0002874542328316967,0.9967131443342397,0.7780448479795776,0.12295999749995858
protein,0,0,0,0,0,0,0,0,0,0,0
protein,0,0,0,0,0,0,0,0,0,0,0
protein,0,0,0,0,0,0,0,0,0,0,0
protein,0,0,0,0,0,0,0,0,0,0,0
